"","month","month.1","co2_flux","co2_mixing_ratio","co2_mole_fraction","air_pressure","U_insitu","u.","x_90.","Site_temp","radian_wd","Precipitation","Lat_sat","Lon_sat","swh","U_sat","co2_flux_sd","co2_mixing_ratio_sd","co2_mole_fraction_sd","air_pressure_sd","U_insitu_sd","radian_wd_sd","u._sd","x_90._sd","Site_temp_sd","Precipitation_sd","Lat_sat_sd","Lon_sat_sd","swh_sd","U_sat_sd","lat_site","lon_site","Easting_Site","Northing_Site","x_cfp","y_cfp","Easting_Sat","Northing_Sat","distance","chlor_a","T_sat","PCO2_sw","PP_air","delta_p_p","k_insitu","k_theory","k_N2000","k_W2014","k_MG2001","k_WMG1999","k_insitu_co2","k_theory_co2","k_N2000_co2","k_W2014_co2","k_MG2001_co2","k_WMG1999_co2"
"1",2015-11-15,"2015 11",0.00384293958888889,410.234986850735,398.082917886765,100901.192175735,0.38501586430129,0.0430050381102941,333.443609022556,30.4155474952663,1.00159896226339,0.346238938053097,4.972698375,280.599719875,1.2295,4.23125,0.116616603750467,26.5349273431506,26.9477707818051,151.47900512327,0.47245631093011,0.403096135845345,0.0244524910699421,249.810759088902,0.500211415652648,1.78911505571937,2.3908230910122,1.66113692238009,0.475257524175803,2.10553310181938,5.468333,100.2002778,632966.689921824,604566.231304678,633146.401400717,604847.102137539,677366.077844207,549861.088162086,52.786209125,0.59,30.705,397.410467749998,396.417873176115,0.992594573882684,13.1302853059188,25.5388486377176,0.198370780927466,0.0479710449368177,4.25654661268889,0.00208243050667853,0.00384293958888889,0.000747464736659494,5.80586719590416e-05,1.40400473723876e-05,0.00124579558697627,6.09480635703893e-07
"2",2015-12-15,"2015 12",-0.057133730345912,400.30463492285,388.715793797789,101081.164441523,0.657721655177224,0.0501284932088452,777.668329177057,30.2439093178023,0.926517117854672,0.12993220338983,4.59461242857143,280.562481785714,1.0529,4.159,0.134433668788976,14.2622206289543,14.4381966923163,149.264283658956,0.66511589056864,0.455975773823366,0.0218167127325889,1059.57581947657,0.60544945075128,1.1669786666543,2.3090619210747,1.90400853270831,0.350023316683649,1.99439464499883,5.468333,100.2002778,632966.689921824,604566.231304678,633433.774861105,605188.002717419,673331.4474024,508042.998252446,52.5785471071429,1.551666667,29.59142857,417.825935081803,387.780360956245,30.0455741255581,-6.44903265242542,28.7198782818595,0.377651970224967,0.136293874028268,4.15149729670216,0.0101072077186605,-0.0571337303459119,0.0254437195430552,0.00334572128787732,0.00120746441617134,0.0367792411459351,8.95424959789734e-05
"3",2016-01-15,"2016 01",-0.0494928547401813,397.650087250356,386.358239880998,101059.576235392,0.692290269121438,0.0499436406532067,770.155647657108,30.4190756572075,1.01796780495775,0.0408617095205003,4.691015,280.230032714286,1.199,4.074,0.155039205161376,12.8619579731194,12.8988940622399,158.738811377315,0.651381540117245,0.435724284831496,0.0319237875253285,984.168293526246,0.574621240810207,0.446628018114414,2.41928866692146,1.7643045687182,0.45897736569707,1.94417191740968,5.468333,100.2002778,632966.689921824,604566.231304678,633371.095971539,605221.666632206,636426.81804662,518629.499664208,52.4605238571428,1.256153846,30.08058824,399.588397340063,385.346163310393,14.2422340296707,-11.7854695190394,29.0690823063977,0.408653092918395,0.152785739941618,4.20223561015806,0.0119256967845635,-0.0494928547401813,0.0122075057399849,0.00171613087915265,0.000641620804422386,0.0176472083951833,5.00817364705175e-05
"4",2016-02-15,"2016 02",-0.0972302804038055,396.46630308551,385.264577923435,100998.291652415,1.03543382742344,0.059424769254025,1415.05504587156,30.190119058683,1.0928360192675,0.0359114015976761,4.547032,280.463215142857,1.23690909090909,4.65,0.138139530017658,11.9596214764981,11.5809425778447,183.691154755194,0.830934272307314,0.384331884225253,0.0200363180387062,1616.65617726646,0.608599608174437,0.489876943191042,2.3551990460492,1.63770643116764,0.454434033616642,2.8159687498266,5.468333,100.2002778,632966.689921824,604566.231304678,633617.571403597,605822.708156645,662327.70838136,502758.588417655,52.5051235714286,1.28,30.14,401.920835999998,384.022345960579,17.8984900394198,-18.4233094182968,34.6537542480027,0.707886744891452,0.342272265693116,4.23398390309514,0.0399582788170384,-0.0972302804038055,0.0182887567378726,0.00373592089983452,0.00180636538268943,0.0223451407549121,0.000210882560001713
"5",2016-03-15,"2016 03",-0.0485210068013245,404.194506000276,392.546686374586,100948.39058232,0.718313160796089,0.044898442679558,549.920990220556,31.0268818936809,0.844014578824533,0.00361527967257844,4.7993922,280.699328133333,1.0979,2.42,0.1527711850974,12.2587123079553,11.4612529140409,176.683129858811,0.596191048099487,0.438522285672599,0.0413553359676307,628.987520183136,0.589050765002406,0.0572750922267302,2.34321547659963,1.69294388134106,0.498979057676773,0.697360101462014,5.468333,100.2002778,632966.689921824,604566.231304678,633332.094837026,604977.196441193,688461.512354212,530723.366316888,52.7493601666667,0.881666667,30.545,393.14193303269,391.087650806191,2.05428222649874,-80.1036300455991,26.5264001102984,0.433863268113964,0.166334260461618,4.25070168692653,0.0134712609608704,-0.0485210068013245,0.00160677816902151,0.000262803103567453,0.00010075330891443,0.00257476877570163,8.15991914889158e-06
"6",2016-04-15,"2016 04",-0.0354140057913669,410.658781688601,397.052075485492,100853.54828342,0.490978452473538,0.0370342025181347,319.492063492063,31.8218285821215,0.848556487096969,0.0972695035460993,4.75155823076923,280.583908384615,1.124,2.68666666666667,0.126785444262927,9.48314787406979,9.0878556952721,149.247132271215,0.534313545953876,0.437608693581972,0.0232598873930916,361.029948351781,0.535952203291096,1.31945694670217,2.32612672652348,1.87507185522154,0.393262952742818,1.09268019108978,5.468333,100.2002778,632966.689921824,604566.231304678,633177.895562863,604805.954803374,675669.874110029,525403.199122662,52.6677333076923,0.595,32.11416667,440.339634013379,395.204645112342,45.1349889010363,-2.6609959664019,23.0072886045245,0.276328289886812,0.0806787354854596,4.40432364165423,0.00446615950478762,-0.0354140057913669,0.0306193719258431,0.0036775296850984,0.00107371722535362,0.0586151745143382,5.94381203747488e-05
"7",2016-05-15,"2016 05",0.00699581283850932,411.4053207671,397.824928119481,100752.031108936,0.404513143692935,0.0383485246978723,255.721913499559,31.8723480732237,0.86567794657847,0.304889340560072,4.774953,279.999687,1.22453846153846,4,0.108801674932908,12.7516791858292,11.3125185881331,109.049625113013,0.472102897890266,0.429546694036761,0.0291733522509949,184.838532202765,0.498422563205414,1.57885533728398,2.41691603134187,1.65023989596199,0.273218354490999,1.42370408910466,5.468333,100.2002778,632966.689921824,604566.231304678,633132.429427385,604760.972449124,610862.21336315,527868.542160377,52.38732,0.355,32.43666667,462.257541089445,395.575322317337,66.6822187721079,0.355803849403634,24.0688622817955,0.219447040429988,0.0551843907244315,4.43626644639481,0.0025168747486237,0.00699581283850932,0.0473241804554738,0.00431476619880915,0.00108503511067227,0.0872258403408381,4.94867739875604e-05
"8",2016-06-15,"2016 06",0.00043146538607595,409.895417589912,397.026592644298,100765.709713596,0.375971936050765,0.0344496240964912,427.566820276498,31.1425642652988,0.792589101766342,0.284915611814346,4.63613785714286,280.649653285714,1.42790909090909,4.51909090909091,0.131706990881461,15.460721486742,14.452958683566,148.219187208507,0.396262646048778,0.441488582438117,0.0224814634638563,756.985729601249,0.489626569978342,1.79963811748,2.34817494400274,1.72875911666185,0.354412035502593,1.41300003216882,5.468333,100.2002778,632966.689921824,604566.231304678,633266.843446587,604870.732942396,682993.624464309,512656.720991368,52.6428955714286,0.44,32.378,455.885258039998,394.835098771021,61.0501592689773,0.0239685444685804,21.5816283808306,0.200628446509322,0.0476057555816029,4.42966245638802,0.00201802994038584,0.00043146538607595,0.0388497751029029,0.00361157642444401,0.000856966335122233,0.0797397616045059,3.63271982778424e-05
"9",2016-07-15,"2016 07",-0.0189013738208955,405.124099498919,392.400610591892,100731.358472973,0.406682062611448,0.0383340497783784,321.258056373256,30.9033463372848,0.885007836623778,0.316808209483369,5.1474125,280.5777846875,1.22945454545455,4.29,0.124095516972136,15.3239817805662,13.9718672008917,127.606181527804,0.459777718590282,0.420871049997131,0.0279685402783128,453.514057847297,0.543668774986146,1.76791283630154,2.29840662691721,1.62686230037709,0.409813948917399,1.8283161652187,5.468333,100.2002778,632966.689921824,604566.231304678,633170.137327795,604814.85932359,674886.502742297,569175.16809947,52.86259859375,0.51,31.26571429,413.637773306773,390.101619250386,23.5361540563872,-2.7235815003721,23.178383460999,0.214808048248588,0.0542456785788609,4.3144497730677,0.0024873269641335,-0.0189013738208955,0.0160855583099147,0.00149074563002018,0.000376459396881317,0.0299418350363626,1.72617917831566e-05
"10",2016-08-15,"2016 08",-0.00659109238842975,403.700294168571,390.83597959619,100708.351207619,0.419537130405934,0.0353360450666667,260.465346534653,31.182305072043,0.888955962226451,0.268783967391304,4.6513225,280.141301583333,1.357,5.386,0.13659390601458,14.0152834055079,12.4544911320043,131.521560330447,0.479088297666493,0.43697355407915,0.0248660398406194,216.658456684396,0.358591270227615,1.75943858917648,2.4757018926478,1.82005411923469,0.341969459325114,1.97158255667314,5.468333,100.2002778,632966.689921824,604566.231304678,633130.84116757,604768.460296826,626591.144083982,514224.468564998,52.3963120416667,0.48,30.56,397.503776,388.457410291113,9.04636570888698,-2.47096026095487,20.8869283706454,0.219350961073039,0.0567611633804599,4.24231875679548,0.00268493889071266,-0.00659109238842975,0.00557142406443391,0.00058510145742472,0.000151405944412394,0.0113160520260258,7.16186357409753e-06
